average_farm_price_per_tonne,average_yield_kg_per_hectare,total_production_tonnes,seeded_area_acres,seeded_area_hectares,total_farm_value_dollars,soil_type,irrigation_used,avg_rainfall_mm,avg_temperature_c,pesticide_use_level,organic_farming,farm_size_category
176.8,2484,704.93,701.26,283.79,124631.62,Silty,Yes,480.55,10.72,Medium,No,Large
208,2539,523.36,509.36,206.13,108858.88,Sandy,No,352.66,9.55,Medium,Yes,Medium
166.4,1337,812.32,1501.34,607.57,135170.05,Silty,Yes,259.71,21.43,Low,No,Small
197.6,3218,2979.9,2288.22,926.01,588828.24,Clay,No,469.26,10.49,Low,No,Small
156,1633,378.94,573.41,232.05,59114.64,Clay,Yes,466.69,12.16,Medium,No,Medium
208,1635,1578.61,2385.82,965.51,328350.88,Clay,Yes,285.51,6.84,High,Yes,Medium
197.6,4406,911.87,511.41,206.96,180185.51,Loamy,No,494.23,10.11,Medium,No,Large
416,1374,469.4,844.18,341.63,195270.4,Silty,No,476.63,7.87,Medium,Yes,Small
416,1953,418.2,529.13,214.13,173971.2,Silty,Yes,518.75,13.57,Medium,Yes,Medium
208,2344,269.4,284,114.93,56035.2,Sandy,No,259.17,9.38,Low,No,Medium
197.6,3445,768.99,551.59,223.22,151952.42,Peaty,Yes,349.42,15.47,Low,Yes,Large
260,2606,2060.82,1954.11,790.8,535813.2,Sandy,No,238.1,11.83,Medium,No,Medium
416,1508,1196.81,1961.12,793.64,497872.96,Peaty,Yes,353.13,10.29,High,Yes,Small
197.6,4451,1874.32,1040.56,421.1,370365.63,Peaty,No,501.61,16.12,Medium,Yes,Small
208,3390,1076.83,784.93,317.65,223980.64,Loamy,No,475.1,15.97,High,No,Large
260,3014,566.9,464.78,188.09,147394,Sandy,No,233.67,10.78,Medium,No,Medium
312,3621,209.37,142.88,57.82,65323.44,Peaty,No,570.16,13.34,Low,No,Large
156,1819,881.58,1197.59,484.65,137526.48,Sandy,Yes,464.57,15.47,High,Yes,Large
187.2,4735,1398.29,729.73,295.31,261759.89,Sandy,No,354.96,9.4,Medium,No,Small
416,2131,2111.63,2448.59,990.91,878438.08,Clay,No,318.69,15.43,Medium,No,Medium
197.6,3824,3091.67,1997.82,808.49,610913.99,Silty,No,335.16,11.75,Medium,Yes,Large
187.2,5621,1763.2,775.12,313.68,330071.04,Sandy,No,390.85,18.63,Low,Yes,Small
166.4,1160,278.14,592.51,239.78,46282.5,Loamy,Yes,290.9,12.1,Medium,Yes,Medium
187.2,4235,3254.34,1898.85,768.44,609212.45,Clay,Yes,314.71,10.85,High,No,Large
176.8,2050,1145.03,1380.2,558.55,202441.3,Loamy,Yes,414.1,5.73,Medium,No,Small
187.2,5543,4614.66,2057.2,832.52,863864.35,Peaty,No,492.53,10.7,Medium,Yes,Medium
260,4579,521.5,281.43,113.89,135590,Silty,Yes,561.21,13,High,Yes,Medium
166.4,1215,574.34,1168.09,472.71,95570.18,Loamy,Yes,315.33,7.75,High,No,Small
416,1958,119.59,150.93,61.08,49749.44,Silty,Yes,410.59,11.52,Medium,Yes,Large
197.6,3041,2974.01,2416.61,977.97,587664.38,Peaty,Yes,671.46,10.93,High,Yes,Small
187.2,4141,3983.31,2376.95,961.92,745675.63,Clay,Yes,376.52,13.05,Medium,No,Medium
312,3612,1798.52,1230.41,497.93,561138.24,Loamy,No,521.66,14.3,High,No,Medium
187.2,4894,4146.59,2093.67,847.28,776241.65,Peaty,Yes,342.02,10.76,Low,No,Medium
312,2585,281.74,269.32,108.99,87902.88,Loamy,No,325.73,12.32,Low,No,Small
520,2259,494.88,541.33,219.07,257337.6,Sandy,No,245.26,8.46,Low,No,Medium
416,834,64.04,189.75,76.79,26640.64,Loamy,No,183.65,3.9,Medium,Yes,Small
416,2010,1286.96,1582.16,640.28,535375.36,Peaty,No,395.54,13.3,Medium,Yes,Small
176.8,2415,1204.67,1232.63,498.83,212985.66,Clay,No,306.03,11.18,Medium,No,Small
187.2,5021,2712.6,1334.98,540.25,507798.72,Clay,Yes,364.91,17.88,Medium,No,Large
520,2940,2284.76,1920.33,777.13,1188075.2,Clay,No,398.25,15.91,High,Yes,Large
187.2,4880,3964.85,2007.65,812.47,742219.92,Peaty,No,480.21,9.83,Medium,Yes,Large
176.8,2030,1922.63,2340.36,947.11,339920.98,Peaty,No,326.99,2.97,Medium,No,Large
416,1978,1629.5,2035.68,823.81,677872,Loamy,No,523.75,11.48,Medium,Yes,Small
166.4,1856,481.52,641.09,259.44,80124.93,Silty,Yes,477.32,14.04,Medium,Yes,Small
197.6,4746,266.54,138.77,56.16,52668.3,Loamy,No,548.67,9.3,Low,Yes,Large
520,3624,1978.81,1349.27,546.03,1028981.2,Silty,Yes,388.98,13.48,Low,No,Large
312,2444,1402.49,1418.01,573.85,437576.88,Peaty,No,269.83,9.63,Medium,Yes,Small
176.8,1662,242.44,360.45,145.87,42863.39,Loamy,Yes,282.27,8.97,Low,Yes,Medium
416,2143,195.61,225.56,91.28,81373.76,Silty,No,396.52,9.97,Medium,Yes,Medium
187.2,5622,2681.64,1178.67,476.99,502003.01,Peaty,Yes,361.84,15.7,Low,No,Small
208,2634,1850.94,1736.43,702.71,384995.52,Loamy,No,589.39,12.26,Medium,Yes,Large
156,1906,522,676.75,273.87,81432,Clay,No,509.79,13.2,Low,Yes,Large
176.8,1444,1351.58,2312.9,936,238959.34,Loamy,Yes,244.59,13.41,Medium,No,Large
156,1507,200.9,329.42,133.31,31340.4,Sandy,No,266.85,10.26,Medium,Yes,Medium
197.6,4196,1813.05,1067.72,432.09,358258.68,Loamy,No,437.62,14.67,Medium,Yes,Large
416,1862,1394.15,1850.17,748.74,579966.4,Clay,Yes,338.73,11.95,High,No,Large
208,2448,2444.82,2467.84,998.7,508522.56,Silty,Yes,467.82,17.24,Medium,No,Large
187.2,4850,2227.65,1134.98,459.31,417016.08,Sandy,No,511.47,12.08,Medium,No,Small
176.8,2266,859.58,937.37,379.34,151973.74,Clay,No,389.52,8.04,High,Yes,Medium
416,1577,211.4,331.24,134.05,87942.4,Silty,Yes,452.79,6.06,Low,Yes,Large
312,2106,1365.11,1601.73,648.2,425914.32,Clay,No,236.31,8.23,Medium,Yes,Medium
197.6,4247,1188.31,691.4,279.8,234810.06,Clay,Yes,449.42,13.82,Medium,No,Medium
416,1546,872.25,1394.17,564.2,362856,Peaty,No,318.16,12.69,Low,Yes,Large
208,3056,1912.99,1546.83,625.98,397901.92,Sandy,No,391.69,11.15,High,No,Large
520,3028,2978.89,2430.97,983.78,1549022.8,Sandy,No,350.81,17.32,Low,No,Medium
312,2230,864.08,957.48,387.48,269592.96,Loamy,Yes,227.54,9.46,Low,No,Large
197.6,3317,2520.69,1877.83,759.93,498088.34,Loamy,Yes,540.8,11.24,Medium,No,Large
187.2,4878,714.24,361.81,146.42,133705.73,Peaty,Yes,412.92,11.18,Medium,No,Large
156,1392,288.14,511.51,207,44949.84,Peaty,No,400.8,6.28,Medium,No,Small
260,3795,205.04,133.51,54.03,53310.4,Clay,No,396.05,9.96,Low,No,Small
166.4,1438,1292.22,2220.53,898.62,215025.41,Silty,No,320.44,7.79,Low,No,Medium
197.6,4758,1898.25,985.85,398.96,375094.2,Silty,No,561.55,9.52,Medium,No,Small
187.2,4600,2257.77,1212.84,490.82,422654.54,Peaty,Yes,409.63,7.84,Low,No,Medium
176.8,2187,746.16,843.07,341.18,131921.09,Silty,No,354.97,14.37,Medium,Yes,Large
197.6,3774,1383.62,905.94,366.62,273403.31,Sandy,Yes,376.81,17.74,Low,Yes,Large
156,2077,2069.23,2461.81,996.26,322799.88,Clay,No,368.82,12.47,Medium,No,Medium
197.6,3412,3185.89,2307.29,933.73,629531.86,Loamy,Yes,318.83,6.78,Medium,Yes,Medium
187.2,4037,1407.86,861.75,348.74,263551.39,Sandy,No,355.02,10.67,Low,Yes,Large
260,4044,2375.81,1451.72,587.49,617710.6,Peaty,Yes,323.3,9.99,High,Yes,Small
197.6,4692,3921.15,2065.08,835.71,774819.24,Sandy,Yes,417.68,12.43,Low,No,Small
260,2915,2838.98,2406.61,973.92,738134.8,Clay,No,240.58,16.75,Medium,No,Large
520,2951,741.53,620.93,251.28,385595.6,Sandy,No,393.97,7.73,Medium,Yes,Large
208,2445,1517.46,1533.63,620.64,315631.68,Peaty,Yes,267.89,10.14,Medium,No,Medium
156,2078,1135.71,1350.53,546.54,177170.76,Peaty,Yes,402.87,9.57,Medium,No,Medium
260,3612,3494.28,2390.52,967.41,908512.8,Sandy,Yes,438.55,7.75,Medium,Yes,Medium
208,2954,2739.95,2292,927.54,569909.6,Silty,No,353.23,11.05,Medium,Yes,Small
260,3481,1775.34,1260.26,510.01,461588.4,Loamy,Yes,519.78,13.88,Medium,No,Large
260,2592,817.93,779.76,315.56,212661.8,Sandy,No,272.27,10.19,Low,Yes,Small
208,2542,2214.69,2152.88,871.24,460655.52,Sandy,No,333.93,10.08,High,Yes,Large
176.8,2973,1217.74,1012.14,409.6,215296.43,Sandy,No,458.11,13.6,Medium,Yes,Large
312,2569,1440.88,1385.94,560.87,449554.56,Sandy,Yes,283.65,10.98,High,No,Large
176.8,2524,374.51,366.65,148.38,66213.37,Clay,No,431.71,13.24,High,Yes,Small
520,3188,715.42,554.53,224.41,372018.4,Loamy,Yes,343.08,8.25,Medium,Yes,Large
520,3338,3195.07,2365.24,957.18,1661436.4,Sandy,Yes,443.38,10.08,Medium,No,Medium
260,3287,165.86,124.69,50.46,43123.6,Sandy,Yes,418.18,10.66,Low,No,Small
520,2905,1252.52,1065.42,431.16,651310.4,Sandy,No,364.85,10.48,High,Yes,Large
197.6,4618,1082.92,579.46,234.5,213984.99,Loamy,No,400.31,9.44,Low,No,Small
312,2700,2551.42,2335.07,944.97,796043.04,Silty,Yes,534.43,14.92,Medium,Yes,Large
156,1759,1195.24,1679.08,679.5,186457.44,Loamy,Yes,472.98,13.44,Low,Yes,Large
176.8,2897,1091.39,930.92,376.73,192957.75,Sandy,No,474.88,9.17,Medium,No,Medium
156,1814,1566.14,2133.41,863.36,244317.84,Sandy,Yes,431.92,12.43,High,No,Small
187.2,4386,2827.57,1593.04,644.68,529321.1,Peaty,Yes,313.64,4.79,Medium,No,Large
156,1930,1100.35,1408.82,570.13,171654.6,Clay,No,424.61,12.46,Medium,Yes,Small
156,1653,165.15,246.88,99.91,25763.4,Loamy,No,296.76,15.55,Medium,No,Medium
187.2,5795,2168.78,924.79,374.25,405995.62,Clay,No,415.57,19.84,Low,Yes,Medium
208,3301,1147.99,859.36,347.77,238781.92,Loamy,Yes,406.62,13.42,Medium,Yes,Large
156,2349,1108.54,1166.14,471.92,172932.24,Loamy,No,437.72,9.53,Low,No,Large
156,1726,1024.59,1466.86,593.62,159836.04,Loamy,No,503.95,15.47,Medium,No,Large
166.4,1382,385.87,689.94,279.21,64208.77,Loamy,Yes,287.91,16.31,High,No,Medium
176.8,2790,1718.81,1522.32,616.06,303885.61,Silty,No,348.51,14.36,Low,Yes,Small
166.4,2037,150.78,182.91,74.02,25089.79,Peaty,No,460.02,13.76,High,Yes,Medium
312,2722,2010.66,1825.29,738.67,627325.92,Clay,No,505.91,13.95,High,No,Medium
416,1475,117.38,196.65,79.58,48830.08,Clay,Yes,497.09,11.95,Medium,No,Small
416,1700,394.65,573.65,232.15,164174.4,Silty,Yes,330.07,15.07,Low,Yes,Large
208,3194,1002.63,775.69,313.91,208547.04,Peaty,No,373.7,12.28,Medium,Yes,Large
520,4103,3341.48,2012.42,814.4,1737569.6,Loamy,No,370.5,9.13,Medium,No,Small
312,3567,2600.34,1801.4,729,811306.08,Silty,Yes,348.04,12.7,High,No,Small
312,2914,1691.37,1434.27,580.43,527707.44,Peaty,No,399.12,11.8,Medium,No,Small
208,3268,2684.56,2029.89,821.47,558388.48,Clay,Yes,464.59,10.33,Low,No,Medium
520,3216,2713.34,2084.82,843.7,1410936.8,Peaty,No,461.26,8.2,High,Yes,Small
197.6,3227,1404.45,1075.45,435.22,277519.32,Silty,No,414.71,14.32,High,Yes,Small
260,4247,3300.85,1920.55,777.22,858221,Clay,No,477.24,11.88,Medium,No,Medium
260,3308,2879.51,2150.97,870.47,748672.6,Loamy,No,447.28,10.08,Medium,No,Medium
166.4,2044,858.66,1038.06,420.09,142881.02,Clay,Yes,400.15,11.92,Medium,No,Medium
208,2423,1980.88,2020.16,817.53,412023.04,Sandy,No,633.48,9.62,High,Yes,Small
520,2021,465.82,569.55,230.49,242226.4,Silty,No,247.49,11.08,Medium,Yes,Medium
312,3477,2064.12,1466.94,593.65,644005.44,Peaty,No,436.9,15.7,High,Yes,Large
176.8,1463,278.61,470.59,190.44,49258.25,Clay,Yes,179.23,9.3,Medium,Yes,Small
197.6,3459,1509.65,1078.47,436.44,298306.84,Loamy,No,318.98,12.06,High,No,Small
166.4,1578,1156.42,1810.88,732.84,192428.29,Peaty,No,560.34,5.16,Low,No,Medium
156,2298,596.42,641.34,259.54,93041.52,Silty,Yes,382.6,13.11,Low,Yes,Small
260,4786,4695.26,2424.2,981.04,1220767.6,Clay,No,309.4,15.44,High,Yes,Medium
176.8,2655,1923.52,1790.25,724.49,340078.34,Silty,Yes,316.99,12.98,High,No,Medium
208,3184,1128.06,875.47,354.29,234636.48,Clay,No,496.73,13.71,Medium,No,Small
416,1713,1452.4,2095.13,847.87,604198.4,Loamy,No,478.22,13.13,Medium,Yes,Large
312,3560,527.09,365.86,148.06,164452.08,Clay,No,406.11,15.85,High,No,Medium
260,4041,950.28,581.09,235.16,247072.8,Silty,No,429.87,14.54,Medium,Yes,Small
208,3252,2519.94,1914.79,774.89,524147.52,Sandy,No,395.79,9.12,High,No,Small
176.8,2494,1097.43,1087.34,440.03,194025.62,Clay,No,423.42,9.68,Medium,Yes,Medium
156,1968,1411.73,1772.58,717.34,220229.88,Sandy,Yes,371.97,14.29,Medium,Yes,Large
208,2996,488.56,402.95,163.07,101620.48,Sandy,Yes,410.3,13.87,Medium,No,Large
166.4,1735,417.98,595.3,240.91,69551.87,Loamy,No,479.08,13.4,Low,No,Large
197.6,4446,3977.12,2210.45,894.54,785878.91,Clay,Yes,309.21,11.1,Medium,Yes,Medium
156,1526,516.61,836.55,338.54,80591.16,Silty,Yes,258.53,10.61,Medium,No,Large
197.6,3866,1484.62,948.93,384.02,293360.91,Silty,Yes,402.51,10.23,Low,Yes,Large
260,3616,1512.68,1033.71,418.33,393296.8,Clay,No,379,12.68,High,No,Medium
520,3319,1128.43,840.13,339.99,586783.6,Loamy,Yes,527.12,18.2,Medium,Yes,Large
416,1173,345.74,728.34,294.75,143827.84,Loamy,No,215.65,12.3,Medium,No,Medium
156,1366,503.58,910.95,368.65,78558.48,Sandy,No,264.27,16.35,Medium,Yes,Small
166.4,1686,585.88,858.69,347.5,97490.43,Loamy,Yes,333.97,16.33,Medium,Yes,Small
187.2,2987,584.14,483.24,195.56,109351.01,Clay,No,226.29,15.1,High,Yes,Medium
166.4,2149,872.49,1003.25,406,145182.34,Clay,Yes,440.08,13.79,Low,Yes,Medium
197.6,3774,618.63,405.05,163.92,122241.29,Sandy,No,413.71,6.24,Medium,Yes,Large
260,3263,2492.67,1887.68,763.92,648094.2,Peaty,Yes,595.25,14.5,Medium,Yes,Large
197.6,4550,1455.23,790.32,319.83,287553.45,Silty,No,422.86,11.8,Medium,No,Large
176.8,2945,293.17,245.99,99.55,51832.46,Sandy,No,364.29,12.41,Medium,No,Large
260,3245,1693.89,1289.89,522,440411.4,Peaty,No,498.68,13.82,Medium,No,Medium
312,3787,1781.59,1162.51,470.45,555856.08,Clay,No,548.71,9.75,Medium,Yes,Large
176.8,2890,407.78,348.67,141.1,72095.5,Silty,No,429.33,18.66,High,Yes,Large
166.4,1897,1390.52,1811.3,733.01,231382.53,Loamy,No,448.26,13.4,Medium,No,Small
260,3246,698.73,531.92,215.26,181669.8,Loamy,No,497.64,13.85,Medium,Yes,Large
260,4651,609.37,323.76,131.02,158436.2,Peaty,No,493.97,12.03,Medium,Yes,Small
176.8,2729,510.76,462.48,187.16,90302.37,Peaty,Yes,465.83,10.82,High,No,Medium
166.4,1570,785.82,1236.81,500.52,130760.45,Peaty,No,483.5,13,Medium,No,Medium
187.2,4144,2147.59,1280.6,518.24,402028.85,Peaty,No,420.72,9.67,High,No,Large
520,3701,2193.36,1464.44,592.64,1140547.2,Silty,No,323.48,11.2,Medium,Yes,Medium
312,1744,1335.21,1891.84,765.6,416585.52,Loamy,Yes,299.35,7.15,Medium,Yes,Large
187.2,4436,3280.87,1827.59,739.6,614178.86,Loamy,Yes,516.88,9.65,High,Yes,Small
166.4,1618,1372.08,2095.48,848.01,228314.11,Silty,No,325.09,7.22,Medium,No,Small
208,3113,352.05,279.45,113.09,73226.4,Loamy,No,372.4,11.17,Medium,No,Small
312,2132,1855.27,2150.31,870.2,578844.24,Loamy,No,257.22,12.43,Medium,Yes,Medium
208,2643,443.71,414.84,167.88,92291.68,Peaty,Yes,466.56,8.31,High,Yes,Medium
197.6,2816,711.38,624.24,252.62,140568.69,Peaty,Yes,264.66,9.9,High,Yes,Medium
197.6,3800,370.54,240.95,97.51,73218.7,Clay,No,414.09,11.54,Medium,No,Medium
520,3462,943.91,673.73,272.65,490833.2,Silty,Yes,455.29,8.18,Medium,Yes,Small
187.2,2998,2374.39,1957.05,791.99,444485.81,Loamy,Yes,284.84,12.95,Medium,Yes,Large
197.6,2422,166.46,169.84,68.73,32892.5,Loamy,No,220.07,14.39,Medium,No,Small
156,1709,219.25,317.01,128.29,34203,Peaty,No,316.31,11.42,Low,No,Medium
520,3819,3443.36,2228,901.64,1790547.2,Clay,Yes,471.49,20.7,Low,No,Medium
156,1683,157.66,231.49,93.68,24594.96,Peaty,Yes,631.95,5.65,Medium,Yes,Small
416,1764,912.43,1278.15,517.25,379570.88,Sandy,Yes,545.53,18.48,High,Yes,Small
166.4,1302,496.7,942.68,381.49,82650.88,Clay,No,255.65,8.51,Medium,Yes,Medium
166.4,2077,1258,1496.67,605.68,209331.2,Peaty,No,379.5,9.31,Medium,Yes,Small
156,1646,1461.85,2194.59,888.12,228048.6,Sandy,Yes,339.44,17.02,Low,No,Large
187.2,4939,1231.39,616.08,249.32,230516.21,Sandy,No,444.16,11,High,Yes,Small
176.8,2716,1009.16,918.14,371.56,178419.49,Clay,No,310.96,8.06,Low,Yes,Small
166.4,1681,1355.15,1992.06,806.16,225496.96,Clay,Yes,484.17,10.64,Medium,Yes,Medium
156,1441,307.93,528.04,213.69,48037.08,Clay,Yes,227.04,10.59,Low,No,Large
312,3258,2482.24,1882.67,761.89,774458.88,Silty,No,494.7,15.64,High,Yes,Large
166.4,1540,1061.38,1703.07,689.21,176613.63,Loamy,Yes,397.75,12.1,Low,Yes,Medium
260,4401,3180.82,1785.95,722.75,827013.2,Silty,No,502.8,9.88,Low,No,Small
260,4740,3293.97,1717.21,694.93,856432.2,Clay,No,324.98,12.3,Low,No,Medium
187.2,5392,4168.34,1910.27,773.06,780313.25,Silty,Yes,314.09,13.07,Low,Yes,Large
312,3768,1763.35,1156.4,467.98,550165.2,Loamy,No,498.68,12.41,Medium,Yes,Small
187.2,4369,2505.93,1417.32,573.57,469110.1,Loamy,No,586.42,12.05,Medium,No,Small
156,1310,880.27,1660.45,671.96,137322.12,Peaty,No,273.66,10.45,Low,No,Medium
416,2060,799.34,958.84,388.03,332525.44,Sandy,No,411.97,11.31,Medium,No,Small
312,2471,404.5,404.51,163.7,126204,Loamy,Yes,297.17,11.62,High,No,Large
176.8,2057,569.25,683.84,276.74,100643.4,Clay,Yes,295.01,10.54,High,Yes,Medium
156,1728,100.86,144.24,58.37,15734.16,Clay,Yes,436.45,12.5,Medium,Yes,Medium
197.6,4153,2187.47,1301.55,526.72,432244.07,Loamy,Yes,374.86,10.78,Medium,No,Small
520,3133,1809.09,1426.86,577.43,940726.8,Sandy,Yes,447.6,12.78,Medium,No,Large
416,1195,1032.53,2135.09,864.04,429532.48,Silty,Yes,477.87,3.34,High,Yes,Small
176.8,2225,1382.15,1534.99,621.19,244364.12,Peaty,Yes,402.1,15.8,Medium,Yes,Large
166.4,2051,864,1040.95,421.26,143769.6,Loamy,Yes,397.76,10.1,High,No,Medium
156,1916,1605.13,2070.12,837.75,250400.28,Silty,No,374.13,13.75,High,No,Large
166.4,1911,1086.52,1404.94,568.56,180796.93,Sandy,No,319.34,12.79,Low,Yes,Small
156,1999,448.84,554.82,224.53,70019.04,Clay,No,407.95,14.51,Low,No,Medium
312,2089,1474.79,1744.51,705.98,460134.48,Peaty,Yes,378.3,3.83,Medium,No,Small
176.8,2256,524.61,574.62,232.54,92751.05,Silty,No,357.2,11.04,Low,Yes,Small
208,2576,1564.56,1500.82,607.36,325428.48,Silty,No,534.39,13.33,Medium,Yes,Large
166.4,1767,710.79,994,402.26,118275.46,Silty,Yes,402.03,8.91,Low,Yes,Small
197.6,4647,4082.39,2170.82,878.5,806680.26,Sandy,Yes,577.57,11.6,Low,Yes,Large
416,1546,661.29,1056.97,427.74,275096.64,Silty,Yes,360.94,8.88,Medium,Yes,Medium
166.4,2127,517.2,600.86,243.16,86062.08,Sandy,No,347.11,9.19,High,Yes,Medium
187.2,4199,4115.61,2421.97,980.14,770442.19,Sandy,No,331.04,13.42,Medium,Yes,Small
197.6,4732,1065.69,556.51,225.21,210580.34,Peaty,Yes,341.45,13.54,Low,No,Medium
197.6,2304,271.25,290.92,117.73,53599,Loamy,No,109.76,12.05,High,No,Medium
312,2991,2096.21,1731.81,700.84,654017.52,Clay,Yes,377.7,15.23,Low,Yes,Medium
156,2093,1054.16,1244.57,503.66,164448.96,Loamy,Yes,446,8.09,High,Yes,Small
187.2,5904,3923.39,1642.09,664.53,734458.61,Silty,No,488.78,10.81,Medium,No,Small
416,2024,1971.19,2406.58,973.91,820015.04,Silty,No,372.35,14.67,High,No,Small
176.8,2979,525.88,436.21,176.53,92975.58,Silty,No,389.93,10.55,High,No,Medium
187.2,5674,3905.98,1701.07,688.4,731199.46,Clay,No,542.57,15.39,Medium,Yes,Small
156,2116,1757.19,2052.03,830.43,274121.64,Loamy,No,443.53,9,Medium,Yes,Small
156,2072,1513.08,1804.48,730.25,236040.48,Clay,Yes,435.59,14.45,Low,No,Small
156,1282,848.88,1636.21,662.15,132425.28,Loamy,Yes,152.72,7.81,High,No,Large
260,2385,1023.55,1060.48,429.16,266123,Peaty,Yes,266.26,13.72,High,Yes,Medium
208,2620,297.21,280.32,113.44,61819.68,Sandy,Yes,508.15,11.37,High,Yes,Medium
197.6,3666,1535.58,1035.05,418.87,303430.61,Loamy,Yes,409.42,14.56,High,No,Medium
520,3303,680.95,509.43,206.16,354094,Peaty,No,392.02,12.57,High,No,Medium
176.8,2988,696.53,576.03,233.11,123146.5,Clay,Yes,402.13,10.99,Medium,Yes,Small
166.4,1722,111.59,160.12,64.8,18568.58,Sandy,No,446.64,13.73,Medium,No,Medium
197.6,3436,1035.61,744.77,301.4,204636.54,Silty,Yes,426.09,12.99,Medium,No,Medium
416,1525,1413.66,2290.64,926.99,588082.56,Silty,Yes,468.72,13.97,Low,Yes,Small
176.8,2707,2329.35,2126.31,860.49,411829.08,Clay,No,442.64,15.19,Medium,No,Small
166.4,1596,582.84,902.4,365.19,96984.58,Clay,Yes,367.71,12.6,Low,Yes,Large
520,2976,1828.22,1518.02,614.32,950674.4,Sandy,No,476.27,11.83,Low,No,Medium
187.2,2957,1024.81,856.39,346.57,191844.43,Clay,No,250.41,8.03,Medium,Yes,Large
260,3960,2555.07,1594.37,645.22,664318.2,Sandy,No,307.12,11.12,Medium,No,Small
416,1186,1025.57,2136.79,864.73,426637.12,Loamy,No,252.22,12.32,High,No,Medium
187.2,5188,1321.95,629.65,254.81,247469.04,Loamy,Yes,609.05,10.68,Medium,Yes,Small
176.8,2184,1778.08,2011.78,814.14,314364.54,Sandy,No,356.43,8.84,High,No,Medium
187.2,5480,566.85,255.61,103.44,106114.32,Silty,Yes,370.69,11.17,Medium,No,Small
197.6,4164,3634.59,2156.88,872.86,718194.98,Silty,Yes,517.2,14.29,High,No,Large
156,1463,490.79,828.96,335.47,76563.24,Silty,No,223.65,11.37,Medium,No,Large
312,2774,1451.36,1292.85,523.2,452824.32,Clay,Yes,386.49,14.55,Medium,No,Medium
156,1766,833.11,1165.72,471.75,129965.16,Loamy,No,386.08,8.35,Low,No,Small
416,1389,921.42,1639.22,663.37,383310.72,Loamy,No,253.61,8.36,Medium,No,Medium
520,2829,622.95,544.13,220.2,323934,Sandy,No,436.1,18.45,Medium,No,Large
312,3312,2437.1,1818.3,735.84,760375.2,Clay,No,500.88,13.41,Medium,No,Medium
416,1658,693.61,1033.74,418.34,288541.76,Sandy,Yes,301,8.7,Medium,No,Large
187.2,5601,2846.48,1255.81,508.21,532861.06,Clay,No,310.03,8.47,Low,No,Large
208,2700,602.53,551.44,223.16,125326.24,Sandy,No,367.35,10.19,Medium,Yes,Large
187.2,4732,1659.04,866.35,350.6,310572.29,Clay,No,435.67,13.19,High,No,Large
197.6,3041,159.41,129.53,52.42,31499.42,Peaty,Yes,726.81,12.84,High,Yes,Large
176.8,2735,2700.98,2440.31,987.56,477533.26,Sandy,No,439.4,9.72,High,Yes,Small
197.6,4798,2271.33,1169.77,473.39,448814.81,Clay,Yes,526.53,12.05,Medium,No,Medium
312,2759,2192.6,1963.77,794.71,684091.2,Loamy,Yes,486.02,12.17,Medium,No,Large
520,2081,1135.56,1348.4,545.68,590491.2,Loamy,No,128.59,15.69,High,No,Large
520,3199,2779.96,2147.37,869.01,1445579.2,Clay,No,351.85,12.69,High,No,Medium
520,2834,1107.7,965.83,390.86,576004,Loamy,Yes,408.8,8.63,High,Yes,Medium
166.4,2099,167.33,196.99,79.72,27843.71,Loamy,No,579.24,9.8,Medium,Yes,Small
156,1548,1167.94,1864.36,754.48,182198.64,Silty,No,275.18,9.73,Medium,Yes,Large
166.4,2101,1695.32,1993.91,806.91,282101.25,Silty,No,394.57,14.01,High,Yes,Medium
260,3958,2949.38,1841.35,745.17,766838.8,Sandy,No,474.98,13.3,Low,No,Large
187.2,4368,3532.1,1998.17,808.63,661209.12,Loamy,Yes,489.77,13.62,High,Yes,Medium
197.6,3432,1979.06,1424.93,576.65,391062.26,Loamy,Yes,404.78,10.22,High,No,Medium
416,1477,915.75,1532.08,620.01,380952,Clay,No,283.42,10.07,Medium,No,Medium
312,3240,633.91,483.46,195.65,197779.92,Silty,No,346.6,17.61,Medium,Yes,Small
197.6,4302,2329.83,1338.25,541.57,460374.41,Clay,No,554.19,15.21,Medium,No,Small
156,1962,610.81,769.29,311.32,95286.36,Peaty,Yes,467.5,8.48,High,No,Large
312,3810,292.15,189.48,76.68,91150.8,Peaty,No,327.28,10.48,High,No,Small
312,3120,1794.59,1421.32,575.19,559912.08,Peaty,No,454.97,9.17,Low,Yes,Medium
156,1911,190.97,246.93,99.93,29791.32,Silty,No,370.18,10.19,Low,Yes,Small
166.4,1495,1303.19,2154.01,871.7,216850.82,Clay,No,284.76,9.45,High,Yes,Small
208,2490,2202.8,2186.04,884.66,458182.4,Loamy,No,387.94,7.81,Low,Yes,Small
208,3149,2302.96,1807.15,731.33,479015.68,Clay,Yes,472.47,9.2,High,No,Medium
416,1924,850.02,1091.71,441.8,353608.32,Silty,No,535.76,11.75,High,No,Small
197.6,3786,2604.31,1699.79,687.88,514611.66,Silty,Yes,333.34,10.37,Medium,No,Medium
156,2040,956.9,1159.1,469.07,149276.4,Clay,Yes,423.03,11.38,Medium,Yes,Medium
166.4,1656,280.54,418.62,169.41,46681.86,Loamy,Yes,591.62,14.3,Medium,No,Small
176.8,1823,1772.78,2402.97,972.45,313427.5,Clay,Yes,255.48,14.54,Medium,Yes,Medium
